map.put(001,霍亂(虎烈拉)
01092,細菌學或組織學檢查未知(至今)之原發性結核感染
01093,顯微鏡檢(痰)發現結核菌之原發性結核感染
01094,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之原發性結核感染
01095,細菌學檢查未發現結核菌，但組織學確認結核病之原發性結核感染
01096,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之原發性結核感染
011,肺結核
0110,浸潤性肺結核
01100,浸潤性肺結核
01101,未作細菌學或組織學檢查之浸潤性肺結核
01102,細菌學或組織學檢查未知(至今)之浸潤性肺結核
01103,顯微鏡檢(痰)發現結核菌之浸潤性肺結核
01104,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之浸潤性肺結核
01105,細菌學檢查未發現結核菌，但組織學確認結核病之浸潤性肺結核
01106,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之浸潤性肺結核
0111,結節性肺結核
01110,結節性肺結核
01111,未作細菌學或組織學檢查之結節性肺結核
01112,細菌學或組織學查未知(至今)之結節性肺結核
01113,顯微鏡檢(痰)發現結核菌之結節性肺結核
01114,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結節性肺結核
01115,細菌學檢查未發現結核菌，但組織學確認結核病之結節性肺結核
01116,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結節性肺結核
0112,肺結核併肺空洞
01120,肺結核併肺空洞
01121,未作細菌學或組織學檢查之肺結核併肺空洞
01122,細菌學或組織學檢查未知(至今)之肺結核併肺空洞
01123,顯微鏡檢(痰)發現結核菌之肺結核併肺空洞
01124,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之肺結核併肺空洞
01125,細菌學檢查未發現結核菌，但組織學確認結核病之肺結核併肺空洞
01126,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之肺結核併肺空洞
0113,支氣管結核
01130,支氣管結核
01131,未作細菌學或組織學檢查之支氣管結核
01132,細菌學或組織學檢查未知(至今)之支氣管結核
01133,顯微鏡檢(痰)發現結核菌之支氣管結核
01134,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之支氣管結核
01135,細菌學檢查未發現結核菌，但組織學確認結核病之支氣管結核
01136,細菌學或組學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之支氣管結核
0114,結核性肺纖維化症
01140,結核性肺纖維化症
01141,未作細菌學或組織學檢查之結核性肺纖維化症
01142,細菌學或組織學檢查未知(至今)之結核性肺纖維化症
01143,顯微鏡檢(痰)發現結核菌之結核性肺纖維化症
01144,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性肺纖維化症
01145,細菌學檢查未發現結核菌，但組織學確認結核病之結核性肺纖維化症
01146,細菌學或組織學檢查未發現結核菌，但經由其他之法(如動物接種試驗)確認之結核性肺纖維化
0115,結核性支氣管擴張症
01150,結核性支氣管擴張症
01151,未作細菌學或組織學檢查之結核性支氣管擴張症
01152,細菌學或組織學檢查未知(至今)之結核性支氣管擴張症
01153,顯微鏡檢(痰)發現結核菌之結核性支氣管擴張症
01154,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性支氣管擴張症
01155,細菌學檢查未發現結核菌，但組織學確認結核病之結核性支氣管擴張症
01156,細菌學或組織學檢查未發現結菌，但經由其他方法(如動物接種試驗)確認之結核性支氣管擴張
0116,結核性肺炎(任何形式)
01160,結核性肺炎(任何形式)
01161,未作細菌學或組織學檢查之結核性肺炎(任何形式)
01162,細菌學或組織學檢查未知(至今)之結核性肺炎(任何形式)
01163,顯微鏡檢(痰)發現結核細菌之結核性肺炎(任何形式)
01164,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性肺炎(任何形式)
01165,細菌學檢查未發現結核菌，但組織學確認結核病之結核性肺炎(任何形式)
01166,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核肺炎(任何
0117,結核性氣胸
01170,結核性氣胸
01171,未作細菌學或組織學檢查之結核性氣胸
01172,細菌學或組織學檢查未知(至今)之結核性氣胸
01173,顯微鏡檢(痰)發現結核菌之結核性氣胸
01174,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性氣胸
01175,細菌學檢查未發現結核菌，但組織學確認結核病之結核性氣胸
01176,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性氣胸
0118,其他特定肺結核
01180,其他特定肺結核
01181,未作細菌學或組織學檢查之其他特定肺結核
01182,細菌學或組織學檢查未知(至今)之其他特定肺結核
01183,顯微鏡檢(痰)發現結核菌之其他特定肺結核
01184,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他特定肺結核
01185,細菌學檢查未發現結核菌,但組織學確認結核病之其他特定肺結核
01186,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他特定肺結核
0119,肺結核
01190,肺結核
01191,未作細菌學或組織學檢查之肺結核
01192,細菌學或組織學檢查未知(至今)之肺結核
01193,顯微鏡檢(痰)發現結核菌之肺結核
01194,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之肺結核
01195,細菌學檢查未發現結核菌，但組織學確認結核病之肺結核
01196,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之肺結核
012,其他呼吸道結核
0120,結核性肋膜炎
01200,結核性肋膜炎
01201,未作細菌學或組織學檢查之結核性肋膜炎
01202,細菌學或組織學檢查未知(至今)之結核性肋膜炎
01203,顯微鏡檢(痰)發現結核菌之結核性肋膜炎
01204,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性肋膜炎
01205,細菌學檢查未發現結核菌，但組織學確認結核病之結核性肋膜炎
01206,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性肋膜炎
0121,胸腔內淋巴結結核
01210,胸腔內淋巴結結核
01211,未作細菌學或組織學檢查之胸腔內淋巴結結核
01212,細菌學或組織學檢查未知(至今)之胸腔內淋巴結結核
01213,顯微鏡檢(痰)發現結核菌之胸腔內淋巴結結核
01214,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之胸腔內淋巴結結核
01215,細菌學檢查未發現結核菌，但組織學確認結核病之胸腔內淋巴結結核
01216,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之胸腔內淋巴結結
0122,孤立性氣管或支氣管結核
01220,孤立性氣管或支氣管結核
01221,未作細菌學或組織學檢查之孤立性氣管或支氣管結核
01222,細菌學或組織學檢查未知(至今)之孤立性氣管或支氣管結核
01223,顯微鏡檢(痰)發現結核菌之孤立性氣管或支氣管結核
01224,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之孤立性氣管或支氣管結核
01225,細菌學檢查未發現結核菌，但組織學確認結核病之孤立性氣管或支氣管結核
01226,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之孤立性氣管或支
0123,結核性喉炎
01230,結核性喉炎
01231,未作細菌學或組織學檢查之結核性喉炎
01232,細菌學或組織學檢查未知(至今)之結核性喉炎
01233,顯微鏡檢(痰)發現結核菌之結核性喉炎
01234,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性喉炎
01235,細菌學檢查未發現結核菌，但組織學確認結核病之結核性喉炎
01236,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性喉炎
0128,其他特定呼吸道結核
01280,其他特定呼吸道結核
01281,未作細菌學或組織學檢查之其他特定呼吸道結核
01282,細菌學或組織學檢查未知(至今)之其他特定呼吸道結核
01283,顯微鏡檢(痰)發現結核菌之其他特定呼吸道結核病
01284,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他特定呼吸道結核
01285,細菌學檢查未發現結核菌，但組織學確認結核病之其他特定呼吸道結核病
01286,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他特定呼吸道
013,腦膜及中樞神經系統結核病
0130,結核性腦膜炎
01300,結核性腦膜炎
01301,未作細菌學或組織學檢查之結核性腦膜炎
01302,細菌學或組織學檢查不詳(至今)之結核性腦膜炎
01303,顯微鏡檢(痰)發現結核菌之結核性腦膜炎
01304,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性腦膜炎
01305,細菌學檢查未發現結核菌，但組織學確認結核病之結核性腦膜炎
01306,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性腦膜炎
0131,腦膜結核瘤
01310,腦膜結核瘤
01311,未作細菌學或組織學檢查之腦膜結核瘤
01312,細菌學或組織學檢查未知(至今)之腦膜結核瘤
01313,顯微鏡檢(痰)發現結核菌之腦膜結核瘤
01314,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之腦膜結核瘤
01315,細菌學檢查未發現結核菌，但組織學確認結核病之腦膜結核瘤
01316,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之腦膜結核瘤
0132,腦結核瘤
01320,腦結核瘤
01321,未作細菌學或組織學檢查之腦結核瘤
01322,細菌學或組織學檢查未知(至今)之腦結核瘤
01323,顯微鏡檢(痰)發現結核菌之腦結核瘤
01324,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之腦結核瘤
01325,細菌學檢查未發現結核菌，但組織學確認結核病之腦結核瘤
01326,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之腦結核瘤
0133,結核性腦膿瘍
01330,結核性腦膿瘍
01331,未作細菌學或組織學檢查之結核性腦膿瘍
01332,細菌學或組織學檢查未知(至今)之結核性腦膿瘍
01333,顯微鏡檢(痰)發現結核菌之結核性腦膿瘍
01334,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性腦膿瘍
01335,細菌學檢查未發現結核菌，但組織學確認結核病之結核性腦膿瘍
01336,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性腦膿瘍
0134,脊髓結核瘤
01340,脊髓結核瘤
01341,未作細菌學或組織學檢查之脊髓結核瘤
01342,細菌學或組織學檢查未知(至今)之脊髓結核瘤
01343,顯微鏡檢(痰)發現結核菌之脊髓結核瘤
01344,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之脊髓結核瘤
01345,細菌學檢查未發現結核菌，但組織學確認結核病之脊髓結核瘤
01346,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之脊髓結核瘤
0135,結核性脊髓膿瘍
01350,結核性脊髓膿瘍
01351,未作細菌學或組織學檢查之結核性脊髓膿瘍
01352,細菌學或組織學檢查不詳(至今)之結核性脊髓膿瘍
01353,顯微鏡檢(痰)發現結核菌之結核性脊髓膿瘍
01354,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性脊髓膿瘍
01355,細菌學檢查未發現結核菌，但組織學確認結核病之結核性脊髓膿瘍
01356,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性脊髓膿瘍
0136,結核性腦炎或脊髓炎
01360,結核性腦炎或脊髓炎
01361,未作細菌學或組織學檢查之結核性腦炎或脊髓炎
01362,細菌學或組織學檢查未知(至今)之結核性腦炎或脊髓炎
01363,顯微鏡檢(痰)發現結核菌之結核性腦炎或脊髓炎
01364,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性腦炎或脊髓炎
01365,細菌學檢查未發現結核菌，但組織學確認結核病之結核性腦炎或脊髓炎
01366,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性腦炎或脊
0138,其他特定中樞神經系統結核病
01380,其他特定中樞神經系統結核病
01381,未作細菌學或組織學檢查之其他特定中樞神經系統結核病
01382,細菌學或組織學檢查未知(至今)之其他特定中樞神經系統結核病
01383,顯微鏡檢(痰)發現結核菌之其他特定中樞神經系統結核病
01384,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他特定中樞神經系統結核病
01385,細菌學檢查未發現結核菌，但組織學確認結核病之其他特定中樞神經系統結核病
01386,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他特定中樞神
0139,中樞神經系統結核病
01390,中樞神經系統結核病
01391,未作細菌學或組織學檢查之中樞神經系統結核病
01392,細菌學或組織學檢查未知(至今)之中樞神經系統結核病
01393,顯微鏡檢(痰)發現結核菌之中樞神經系統結核病
01394,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之中樞神經系統結核病
01395,細菌學檢查未發現結核菌，但組織學確認結核病之中樞神經系統結核病
01396,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之中樞神經系統結
014,腸，腹膜及腸繫膜腺體結核病
0140,結核性腹膜炎
01400,結核性腹膜炎
01401,未作細菌學或組織學檢查之結核性腹膜炎
01402,細菌學或組織學檢查未知(至今)之結核性腹膜炎
01403,顯微鏡檢(痰)發現結核菌之結核性腹膜炎
01404,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性腹膜炎
01405,細菌學檢查未發現結核菌，但組織學確認結核病之結核性腹膜炎
01406,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性腹膜炎
0148,其他腸，腹膜及腸繫膜腺體結核病
01480,其他腸,腹膜及腸繫膜腺體結核病
01481,未作細菌學或組織學檢查之其他腸，腹膜及腸繫膜腺體結核病
01482,細菌學或組織學檢查未知(至今)之其他腸，腹膜及腸繫膜腺體結核病
01483,顯微鏡檢(痰)發現結核菌之其他腸，腹膜及腸繫膜腺體結核病
01484,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他腸，腹膜及腸繫膜腺體結核病
01485,細菌學檢查未發現結核菌，但組織學確認結核病之其他腸，腹膜及腸繫膜腺體結核病
01486,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他腸，腹膜及
015,骨及關節結核病
0150,脊柱結核病
01500,脊柱結核病
01501,未作細菌學或組織學檢查之脊柱結核
01502,細菌學或組織學檢查未知(至今)之脊柱結核
01503,顯微鏡檢(痰)發現結核菌之脊柱結核
01504,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之脊柱結核
01505,細菌學檢查未發現結核菌，但組織學確認結核病之脊柱結核
01506,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之脊柱結核
0151,髖部結核
01510,髖部結核
01511,未作細菌學或組織學檢查之髖部結核
01512,細菌學或組織學檢查未知(至今)之髖部結核
01513,顯微鏡檢(痰)發現結核菌之髖部結核病
01514,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之髖部結核
01515,細菌學檢查未發現結核菌，但組織學確認結核病之髖部結核
01516,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之髖部結核
0152,膝部結核
01520,膝部結核
01521,未作細菌學或組織學檢查之膝部結核
01522,細菌學或組織學檢查未知(至今)之膝部結核
01523,顯微鏡檢(痰)發現結核菌之膝部結核
01524,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之膝部結核
01525,細菌學檢查未發現結核菌，但組織學確認結核病之膝部結核
01526,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之膝部結核
0155,四肢骨骼結核病
01550,四肢骨骼結核病
01551,未作細菌學或組織學檢查之四肢骨骼結核病
01552,細菌學或組織學檢查未知(至今)之四肢骨骼結核病
01553,顯微鏡檢(痰)發現結核菌之四肢骨骼結核病
01554,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之四肢骨骼結核病
01555,細菌學檢查未發現結核菌，但組織學確認結核病之四肢骨骼結核病
01556,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之四肢骨骼結核病
0156,乳突結核
01560,乳突結核
01561,未作細菌學或組織學檢查之乳突結核
01562,細菌學或組織學檢查未知(至今)之乳突結核
01563,顯微鏡檢(痰)發現結核菌之乳突結核
01564,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之乳突結核
01565,細菌學檢查未發現結核菌，但組織學確認結核病之乳突結核
01566,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之乳突結核
0157,其他特定骨骼結核
01570,其他特定骨骼結核
01571,未作細菌學或組織學檢查之其他特定骨骼結核
01572,細菌學或組織學檢查未知(至今)之其他特定骨骼結核
01573,顯微鏡檢(痰)發現結核菌之其他特定骨骼結核
01574,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他特定骨骼結核
01575,細菌學檢查未發現結核菌，但組織學確認結核病之其他特定骨骼結核
01576,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他特定骨骼結
0158,其他特定關節結核
01580,其他特定關節結核
01581,未作細菌學或組織學檢查之其他特定關節結核
01582,細菌學或組織學檢查未知(至今)之其他特定關節結核
01583,顯微鏡檢(痰)發現結核菌之其他特定關節結核
01584,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他特定關節結核病
01585,細菌學檢查未發現結核菌，但組織學確認結核病之其他特定關節結核
01586,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他特定關節結
0159,骨骼及關節結核
01590,骨骼及關節結核
01591,未作細菌學或組織學檢查之骨骼及關節結核
01592,細菌學或組織學檢查未知(至今)之骨骼及關節結核
01593,顯微鏡檢(痰)發現結核菌之骨骼及關節結核
01594,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之骨骼及關節結核
01595,細菌學檢查未發現結核菌，但組織學確認結核病之骨骼及關節結核
01596,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之骨骼及關節結核
016,生殖泌尿系統結核
0160,腎結核
01600,腎結核
01601,未作細菌學或組織學檢查之腎結核
01602,細菌學或組織學檢查未知(至今)之腎結核
01603,顯微鏡檢(痰)發現結核菌之腎結核
01604,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之腎結核
01605,細菌學檢查未發現結核菌，但組織學確認結核病之腎結核
01606,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之腎結核
0161,膀胱結核
01610,膀胱結核
01611,未作細菌學或組織學檢查之膀胱結核
01612,細菌學或組織學檢查未知(至今)之膀胱結核
01613,顯微鏡檢(痰)發現結核菌之膀胱結核
01614,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之膀胱結核
01615,細菌學檢查未發現結核菌，但組織學確認結核病之膀胱結核
01616,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之膀胱結核
0162,輸尿管結核
01620,輸尿管結核
01621,未作細菌學或組織學檢查之輸尿管結核
01622,細菌學或組織學檢查未知(至今)之輸尿管結核
01623,顯微鏡檢(痰)發現結核菌之輸尿管結核病
01624,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之輸尿管結核
01625,細菌學檢查未發現結核菌，但組織學確認結核病之輸尿管結核
01626,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之輸尿管結核
0163,其他泌尿器官結核
01630,其他泌尿器官結核
01631,未作細菌學或組織學檢查之其他泌尿器官結核
01632,細菌學或組織學檢查未知(至今)之其他泌尿器官結核
01633,顯微鏡檢(痰)發現結核菌之其他泌尿器官結核
01634,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他泌尿器官結核
01635,細菌學檢查未發現結核菌，但組織學確認結核病之其他泌尿器官結核
01636,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他泌尿器官結
0164,副睪結核
01640,副睪結核
01641,未作細菌學或組織學檢查之副睪結核
01642,細菌學或組織學檢查未知(至今)之副睪結核
01643,顯微鏡檢(痰)發現結核菌之副睪結核
01644,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之副睪結核
01645,細菌學檢查未發現結核菌，但組織學確認結核病之副睪結核
01646,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之副睪結核
0165,其他男性生殖器官結核
01650,其他男性生殖器官結核
01651,未作細菌學或組織學檢查之其他男性生殖器官結核
01652,細菌學或組織學檢查未知(至今)之其他男性生殖器官結核
01653,顯微鏡檢(痰)發現結核菌之其他男性生殖器官結核
01654,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他男性生殖器官結核
01655,細菌學檢查未發現結核菌，但組織學確認結核病之其他男性生殖器官結核
01656,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他男性生殖器
0166,結核性卵巢炎及輸卵管炎
01660,結核性卵巢炎及輸卵管炎
01661,未作細菌學或組織學檢查之結核性卵巢炎及輸卵管炎
01662,細菌學或組織學檢查未知(至今)之結核性卵巢炎及輸卵管炎
01663,顯微鏡檢(痰)發現結核菌之結核性卵巢炎及輸卵管炎
01664,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之結核性卵巢炎及輸卵管炎
01665,細菌學檢查未發現結核菌，但組織學確認結核病之結核性卵巢炎及輸卵管炎
01666,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之結核性卵巢炎及
0167,其他女性生殖器官結核
01670,其他女性生殖器官結核
01671,未作細菌學或組織學檢查之其他女性生殖器官結核
01672,細菌學或組織學檢查未知(至今)之其他女性生殖器官結核病
01673,顯微鏡檢(痰)發現結核菌之其他女性生殖器官結核病
01674,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他女性生殖器官結核
01675,細菌學檢查未發現結核菌，但組織學確認結核病之其他女性生殖器官結核
01676,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他女性生殖器
0169,生殖泌尿結核
01690,生殖泌尿結核
01691,未作細菌學或組織學檢查之生殖泌尿結核
01692,細菌學或組織學檢查未知(至今)之生殖泌尿結核
01693,顯微鏡檢(痰)發現結核菌之生殖泌尿結核
01694,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之生殖泌尿結核
01695,細菌學檢查未發現結核菌，但組織學確認結核病之生殖泌尿結核
01696,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之生殖泌尿結核
017,其他器官之結核
0170,皮膚及皮下細胞組織之結核
01700,皮膚及皮下細胞組織之結核
01701,未作細菌學或組織學檢查之皮膚及皮下細胞組織結核
01702,細菌學或組織學檢查未知(至今)之皮膚及皮下細胞組織結核
01703,顯微鏡檢(痰)發現結核菌之皮膚及皮下細胞組織結核
01704,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之皮膚及皮下細胞組織結核
01705,細菌學檢查未發現結核菌，但組織學確認結核病之皮膚及皮下細胞組織結核
01706,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之皮膚及皮下細胞
0171,結核病合併結節性紅斑症及過敏反應
01710,結核病合併結節性紅斑症及過敏反應
01711,未作細菌學或組織學檢查之結核病合併結節性紅斑症及過敏反應
01712,細菌學或組織學檢查未知(至今)之結核病合併結節性紅斑症及過敏反應
01713,顯微鏡檢(痰)發現結核菌之結核病合併結節性紅斑症及過敏反應
